sku_code;vvic_url;product_title;price_usd;categories;size_chart_image;size_texts
JP3076;https://www.vvic.com/item/60997ebeab74e6000187be89;;;floral, mini dress;;"Ｓ: 胸围：80cm  袖长：26cm  裙长：80cm
Ｍ: 胸围：84cm  袖长：27cm  衣长：81cm
Ｌ: 胸围：88cm  袖长：28cm  衣长：82cm"
JP3077;https://www.vvic.com/item/6098fa0c05a56f00011a1844;;;mini dress;;"Ｓ: 胸围：80cm  袖长：28cm  裙长：80cm
Ｍ: 胸围：84cm  袖长：29cm  裙长：81cm
Ｌ: 胸围：88cm  袖长：30cm  裙长：82cm"
JP3078;https://www.vvic.com/item/5e8cc9a94b6e2b00014182dd;;;floral, knee length dress;https://img.alicdn.com/imgextra/i4/392609544/O1CN016LbR092KNCe4IBlCF_!!392609544.jpg;
JP3079;https://www.vvic.com/item/60acaffcab74e60001a45f7a;;;midi dress;https://img.alicdn.com/imgextra/i3/1066766865/O1CN01Vp1m1l20aDfiXDlQm_!!1066766865.jpg;
JP3080;https://www.vvic.com/item/609d32407be3ef00015a2770;;;floral, midi dress;https://img1.vvic.com/upload/1620914737583_61080.jpg;
JP3081;https://www.vvic.com/item/60b89e1ae36f0e0001d85a91;;;maxi dress;https://img1.vvic.com/upload/1622711332093_734565.jpg;
JP3082;https://www.vvic.com/item/6050d337e4d8bc00014794c3;;;floral, knee length dress;https://img1.vvic.com/upload/1615909495805_18044.jpg;
JP3083;https://www.vvic.com/item/5eaef85e534b250001ed967c;;;floral, mini dress;https://img.alicdn.com/imgextra/i1/392609544/O1CN01920nia2KNCeUnfc0E_!!392609544.jpg;
JP3084;https://www.vvic.com/item/60c1b18c05a56f0001553b4e;;;mini dress;;"Ｓ: 肩寬:39cm 胸围：90cm  袖长：27cm  裙长：84cm
Ｍ: 肩寬: 40cm 胸围：94cm  袖长：28cm  衣长：85cm
Ｌ: 肩寬: 41cm 胸围：98cm  袖长：29cm  衣长：86cm"
JP3085;https://www.vvic.com/item/601cf9d84561290001f871c8;;;midi dress;https://img.alicdn.com/imgextra/i1/2342940613/O1CN01G4t4vO1GOnRl0nPXl_!!2342940613.jpg;
;;;;;;
sku_code;vvic_url;product_title;price_usd;categories;size_chart_image;size_texts
JP3086;https://www.vvic.com/item/606dfac2dcee0e00010ddf15;;;knee length dress;https://img1.vvic.com/upload/1617820156904_322845.jpg;
JP3087;https://www.vvic.com/item/60711b7ed3c5fd000124fac2;;;knee length dress;https://img1.vvic.com/upload/1618025203471_445816.jpg;
JP3088;https://www.vvic.com/item/6044ff814561290001168b69;;;floral, midi dress;https://img.alicdn.com/imgextra/i1/1602103188/O1CN01XigMmQ1ZQ9JtCiNLF_!!1602103188.jpg;
JP3089;https://www.vvic.com/item/6057f90de4d8bc000149b802;;;midi dress;;"M: 衣长:110cm,胸围48cm,腰围:70-83cm,臀围:135cm摆围：69cm,袖窿：22cm,袖长：22cm，袖口：18cm
 L: 衣长:111cm, 胸围50cm,腰围:74-87cm,臀围:139cm摆围：71cm,袖窿：23cm,袖长：23cm袖口：19cm
XL: 衣长:112cm,胸围52cm,腰围:78-91cm,臀围:143cm摆围：73cm,袖窿：24cm,袖长：24m袖口：20cm"
JP3090;https://www.vvic.com/item/6036ec67417986000183ca98;;;floral, knee length dress;https://img1.vvic.com/upload/1623329409559_789938.jpg;
JP3091;https://www.vvic.com/item/6037d92cc472530001c662c8;;;midi dress;;胸围110 衣长108
JP3092;https://www.vvic.com/item/60969483cbaf040001e8b759;;;floral, knee length dress;https://img1.vvic.com/upload/1620481139564_370827.jpg;
JP3093;https://www.vvic.com/item/5ecebf0849568000017e8b63;;;midi dress;;胸围100 衣长108
JP3094;https://www.vvic.com/item/5ffb94edc7f3ac00010c71bb;;;knee length dress;https://img.alicdn.com/imgextra/i2/1637493769/O1CN01YzxzYW1diFQHdMzFO-1637493769.jpg;
JP3095;https://www.vvic.com/item/603650904561290001037fcd;;;midi dress;https://img.alicdn.com/imgextra/i2/2528380040/O1CN01hcbvoz1CAMVI4P1Ly_!!2528380040.jpg;
